x,y,prod
-83.4435806274414,-85.07324981689453,"DIA" Productions GmbH & Co. KG
-74.3544692993164,100.41963195800781,"DumBeast" Partners
99.41483306884766,16.51938247680664,"G" P.C. S.A.
87.39141082763672,-0.48652467131614685,"GREEN" Productions
126.96929168701172,29.448646545410156,"Mi" Production Studio
-63.49774169921875,64.08364868164062,"Pempti & 12" Tsaltabasis-Xenopoulos
-45.1982307434082,-79.38618469238281,"Ulitka" Studio
-79.00423431396484,-84.89364624023438,"Weathering With You" Film Partners
88.7029800415039,-5.538008689880371,#Sinning Works
-44.96479797363281,7.933164119720459,#littlesecretfilm
-129.61082458496094,24.437074661254883,&Söhne
-70.09099578857422,-39.724002838134766,.406 Production
-13.825383186340332,50.175636291503906,.hack Conglomerate
93.22807312011719,68.72376251220703,011 Productions
-33.852447509765625,98.14947509765625,1 A Productions
62.78081512451172,-106.19783020019531,1 Bullet in the Gun Productions
-4.519039630889893,-111.05088806152344,1 Degree Pictures
-63.32477951049805,63.70557403564453,1 Mart Filmcilik
-164.85260009765625,50.47734451293945,1 Media Productions
25.43701934814453,70.72791290283203,1 Production Film
-68.34855651855469,37.92503356933594,1 Production Film Company
-9.142426490783691,-112.6863021850586,1 in 10 Films
-154.82359313964844,-26.33208656311035,1+1 Production
37.571006774902344,162.30465698242188,1+2 Seisaku Iinkai
-1.1861178874969482,115.6949234008789,1-2-3 Production
19.48549461364746,141.97752380371094,1-800-Love
-79.24970245361328,-27.82252311706543,1-ya Goskino Fabrika
-6.933664798736572,-106.1413345336914,1.85 Films
32.84510040283203,-119.0255126953125,10 Cates Pictures
52.66120910644531,13.761811256408691,10 West Studios
52.883697509765625,21.209922790527344,10% Productions
37.58765411376953,-54.22746658325195,10-001
2.736593246459961,66.9208984375,10.80 Films
159.9794464111328,-38.21200942993164,100 Acres of Hell Productions
12.349462509155273,69.61491394042969,100 Bares
20.072664260864258,-122.43167877197266,100 Year Films
-87.12274169921875,-31.745637893676758,100% Halal
19.49483299255371,67.16230773925781,100% Synthetic Films
-14.213302612304688,117.858154296875,1000 Lights Entertainments
-25.128459930419922,-109.8399658203125,100Ljón
-20.608417510986328,61.81806564331055,100m Films
36.15945816040039,152.16172790527344,100th Monkey Movies
117.8420181274414,10.516292572021484,101 Productions
168.8640899658203,-35.5509147644043,101st Street Films
